ItemNum,ItemStem_Text,Answer__A,Answer__B,Answer__C,Answer__D,Answer__E,Answer__F,Answer__G,Answer__H,Answer__I,Answer__J,Answer_Key,Answer_Text,ItemType,EXAM,Difficulty,Response_Time
38,"A 27-year-old man comes to the office with his wife because of a recent episode of loss of muscle control. He says, ""I was at a reception, someone told a joke, and when I laughed, my legs collapsed!"" His wife says that he recovered in a few seconds and he did not lose consciousness. He has a long history of sleepiness and he is able to go to sleep quickly. He usually awakens feeling refreshed after a short nap. He has no history of similar episodes or hallucinations. There is no family history of similar problems. Vital signs are normal. Physical examination shows no abnormalities. Which of the following is the most likely diagnosis?",Narcolepsy,Primary hypersomnia,A seizure disorder,Sleep paralysis,Vasovagal syndrome,,,,,,A,Narcolepsy,Text,STEP 3,0.82,76.39
186,"An 18-month-old boy is brought to the emergency department by his parents 2 hours after swallowing a dime. The parents note that the child has not had any choking, respiratory problems, feeding problems, or vomiting since the incident. Medical history is unremarkable and the child is up-to-date on vaccinations. He does not appear to be in pain. He is 82 cm (32 in; 50th percentile) long and weighs 12 kg (26 lb; 50th percentile). Vital signs are temperature 37.2Â°C (98.9Â°F), pulse 110/min, respirations 30/min, and blood pressure 90/51 mm Hg. Lungs are clear to auscultation. Abdominal examination discloses no tenderness. The remainder of the examination shows no abnormalities. X-ray of the abdomen is shown. Which of the following is the most appropriate management?",Administration of an oral bowel-cleansing solution,Endoscopic retrieval of the coin,Interventional radiologic retrieval of the coin,Surgical exploration of the stomach with coin retrieval,Observation only,,,,,,E,Observation only,PIX,STEP 3,0.14,44.15
96,"A 47-year-old man is brought to the emergency department 2 hours after the sudden onset of shortness of breath, severe chest pain, and sweating.  He has no history of similar symptoms.  He has hypertension treated with hydrochlorothiazide.  He has smoked one pack of cigarettes daily for 30 years.  His pulse is 110/min, respirations are 24/min, and blood pressure is 110/50 mm Hg.  A grade 3/6, diastolic blowing murmur is heard over the left sternal border and radiates to the right sternal border.  Femoral pulses are decreased bilaterally.  An ECG shows left ventricular hypertrophy.  Which of the following is the most likely diagnosis?",Acute myocardial infarction,Aortic dissection,Esophageal rupture,Mitral valve prolapse,Pulmonary embolism,,,,,,B,Aortic dissection,Text,STEP 2,0.78,120.08
66,A 63-year-old woman with hypertension has her son call your office to make an appointment for evaluation of vaginal bleeding. Her general physician recently retired. The son tells you that his mother has been deaf since infancy and that he uses sign language to communicate with her. Which of the following is the most appropriate course of action to ensure good communication?,Have the patient bring her son to the appointment to interpret,Arrange for a certified interpreter,Provide the patient with writing materials during the appointment,"Talk with the patient face-to-face, enunciating carefully so that she may lip read",Obtain a history via a telecommunication device for the deaf before the appointment,,,,,,B,Arrange for a certified interpreter,Text,STEP 3,0.02,36.53
15,"A 4-year-old boy is brought to the physician because of temperatures to 39.4Â°C (102.9Â°F) for 8 days. Examination shows anterior cervical lymphadenopathy, nonexudative conjunctivitis bilaterally,  a strawberry tongue, an erythematous truncal rash, and edema of the hands and feet.  Which of the following is the most appropriate pharmacotherapy to prevent complications of this illness?",Intravenous immune globulin,Intravenous penicillin,Intravenous prednisone,Oral isoniazid,Oral rifampin,,,,,,A,Intravenous immune globulin,Text,STEP 2,0.6,55.5
218,"A 41-year-old woman is brought to the emergency department by her husband because of nausea and dizziness that began suddenly 4 hours ago. She says she feels like the room is spinning. She has not vomited. She recalls receiving a blow to the left side of her neck 1 week ago when her dog jumped on her, but she has had no ill effects from that incident. Medical history is unremarkable. She takes no medications. Vital signs are normal. Physical examination shows mild ptosis of the left eyelid. The right pupil measures 4 mm in diameter and the left pupil measures 2 mm in diameter. Both pupils are reactive to light. Ocular motility is full. Nystagmus is present in both eyes on left lateral gaze. Left corneal reflex is diminished. Sensation to pinprick and cold is reduced over the left side of the face, right side of the chest, abdomen, and right upper and lower extremities. Which of the following pathophysiologic processes most accurately explains this patient's left-sided ptosis and decreased pupil size?",Parasympathetic overactivity,Parasympathetic underactivity,Postsynaptic neuromuscular junction defect,Presynaptic neuromuscular junction defect,Sympathetic overactivity,Sympathetic underactivity,,,,,F,Sympathetic underactivity,Text,STEP 3,0.78,113.0
193,"A technician wants to determine whether cytomegalovirus (CMV) DNA is present in the blood of a bone marrow transplant recipient. DNA purified from the leukocytes of the patient is reacted in a mixture containing oligonucleotides specific for CMV DNA, thermostable DNA polymerase, and nucleotides. Repetitive cycles of heating and cooling are performed, and the reaction product is detected by gel electrophoresis. The technician most likely used which of the following laboratory procedures on this patient's blood?",Northern blotting,Polymerase chain reaction,Reverse transcription,Southern blotting,Western blotting,,,,,,B,Polymerase chain reaction,Text,STEP 1,0.3,53.27
580,"A 32-year-old man is brought to the emergency department after being found by his wife in their bedroom with a gun in his hands. His wife reports that the patient â€œhas not been himselfâ€ since their son was stillborn 6 months ago. She says that during the past month, he hardly has slept and has not showered or shaved; he sits in the dark and refuses to eat. He began fluoxetine therapy 3 months ago, but his symptoms have continued to worsen. He appears disheveled. He is 175Â cm (5Â ft 9Â in) tall and weighs 52Â kg (115Â lb); BMI is 17Â kg/m2. His pulse is 90/min, and blood pressure is 100/60Â mmÂ Hg. Physical examination shows decreased skin turgor and dry mucous membranes. When asked about his mood, he says, â€œI donâ€™t know.â€ He has a tearful affect. He responds to most questions with one-word answers in a soft voice. He says he hears a voice telling him that he is a failure and says he wants to join his son in heaven. He refuses to answer questions about suicide. After removing all firearms from the patientâ€™s house and admitting him to a psychiatric facility, which of the following is the most appropriate next step in management?",Electroconvulsive therapy,Imipramine therapy,Mirtazapine therapy,Sertraline therapy,Transcranial magnetic stimulation,,,,,,A,Electroconvulsive therapy,Text,STEP 2,0.54,69.99
172,"Two days after admission to the hospital for congestive heart failure, an 82-year-old man is unable to walk because of severe, throbbing pain in his left foot. He has no history of similar episodes or recent trauma. He also has coronary artery disease and hypertension. Current medications include atenolol, lisinopril, furosemide, and aspirin. He does not smoke or drink alcohol. He is in moderate distress. His temperature is 38Â°C (100.4Â°F), pulse is 68/min and regular, respirations are 12/min, and blood pressure is 138/88 mm Hg. Jugular venous pulsations are present 3 cm above the sternal angle. Crackles are heard at both lung bases. A grade 2/6 systolic murmur is heard best at the left sternal border and second intercostal space. Examination of the lower extremities shows pitting pedal edema. There is tenderness, erythema, and edema of the left great toe. Active and passive range of motion of the first metacarpophalangeal joint produces pain; arthrocentesis of the joint is performed. Analysis of joint fluid aspirate is most likely to show which of the following?",100 needle-shaped no organisms,100 none gram-positive cocci,100 none no organisms,100 rhomboid no organisms,"20,000 needle-shaped no organisms","20,000 none gram-positive cocci",,,,,E,"20,000 needle-shaped no organisms",Text,STEP 2,1.26,114.23
637,"A 55-year-old man comes to the emergency department because of a 6-hour history of diffuse abdominal pain and subjective fever. His most recent bowel movement 4Â hours ago was loose but not bloody. He reports no chills or urinary symptoms. Medical history is remarkable for gastroesophageal reflux disease and alcoholic cirrhosis. Medications are furosemide, spironolactone, lactulose, and pantoprazole. The patient appears uncomfortable. Temperature is 37.8Â°C (100.0Â°F), pulse is 88/min, respirations are 14/min, and blood pressure is 104/66Â mmÂ Hg. Physical examination shows conjunctival icterus and abdominal distention. Bowel sounds are normal. There is moderate diffuse abdominal tenderness with mild guarding but no rebound tenderness. Results of laboratory studies are shown: Serum Â  Blood Â  â€ƒALT 70 U/L â€ƒHematocrit 39% â€ƒAST 85 U/L â€ƒHemoglobin 13.0 g/dL â€ƒAlkaline phosphatase 66 U/L â€ƒLeukocyte count 11,300/mm3 â€ƒTotal bilirubin 3.5 mg/dL â€ƒPlatelet count 66,000/mm3 â€ƒCreatinine 0.6 mg/dL â€ƒPartial thromboplastin time 39 seconds Â  Â  â€ƒProthrombin time 17.2 secondsAbdominal paracentesis is done, and analysis of the ascitic fluid shows a segmented neutrophil cell count of 288 cells/mm3. Results of blood and ascitic fluid cultures are pending. Which of the following is the most appropriate pharmacotherapy at this time?",Cefotaxime,Clindamycin,Metronidazole,Oxacillin,Vancomycin,No pharmacotherapy is indicated at this time,,,,,A,Cefotaxime,Text,STEP 2,0.86,109.16
259,"A 47-year-old woman comes to the emergency department because of a 2-week history of intermittent abdominal pain, nausea, and vomiting. She has had similar episodes sporadically during the past 4 years. Physical examination shows dehydration, jaundice, and upper abdominal distention. Laboratory studies show hyperbilirubinemia. A CT scan and upper gastrointestinal series of the abdomen with oral contrast are shown; the arrows indicate the abnormality. Which of the following is the most likely cause of these findings?",Annular pancreas,Cirrhosis of the liver,Duodenal constriction by the portal vein,Duodenal constriction by the superior mesenteric artery,Pyloric stenosis,,,,,,A,Annular pancreas,PIX,STEP 1,0.9,157.46
519,"A 48-year-old man comes to the clinic because of a 10-year history of recurrent, intrusive thoughts that his house will be broken into and damaged by criminals or accidentally destroyed by a fire when he is not home. These thoughts have worsened during the past 2Â months. He reports now spending 4Â hours daily checking that the doors and windows are closed and locked and that the stove and oven are turned off; he previously spent 2Â hours daily doing these tasks. He says he cannot keep a job or leave the house very much because of the amount of time he spends checking these things. He has no other history of serious illness and takes no medications. Physical examination shows no abnormalities. On mental status examination, he has an anxious mood and a sad affect. He is fully oriented. He is not having hallucinations or delusions. The most effective pharmacotherapy for this patient is an agent that targets which of the following neurotransmitters?",Î³-Aminobutyric acid,Dopamine,Glutamate,Norepinephrine,Serotonin,,,,,,E,Serotonin,Text,STEP 3,0.26,50.61
517,"A 58-year-old man comes to the clinic for a follow-up examination 3 months after beginning warfarin therapy for deep venous thrombosis. He noted blood in his urine 1 week ago but has not seen any since that time. He has not had pain, fever, or increased urinary frequency. He has not sustained any recent trauma. His prothrombin time and INR have been within the therapeutic ranges during his previous measurements. He has hypertension and benign prostatic hyperplasia. Medications are warfarin and hydrochlorothiazide. He smoked one pack of cigarettes daily for 40 years but quit when diagnosed with deep venous thrombosis. Temperature is 35.9Â°C (96.6Â°F), pulse is 88/min, respirations are 18/min, and blood pressure is 135/87 mm Hg. The prostate is moderately enlarged; no nodules are noted. Laboratory studies show: Prothrombin time  19 sec (INR=2.5) Serum Â  â€ƒUrea nitrogen 18 mg/dL â€ƒCreatinine 1 mg/dL Prostate-specific antigen 3.8 ng/mL (N<4) Urine Â  â€ƒBlood 3+ â€ƒProtein 1+ â€ƒRBC too numerous to count â€ƒWBC 2/hpf â€ƒCasts none â€ƒNitrites negative â€ƒLeukocyte esterase negativeIn addition to a CT scan of the abdomen, which of the following is the most appropriate next step in management?",Adjustment of the warfarin dosage to maintain an INR between 1.5 and 2.0,Ciprofloxacin therapy,Cystoscopy,Discontinuation of hydrochlorothiazide therapy,Finasteride therapy,,,,,,C,Cystoscopy,Text,STEP 2,0.2,95.09
308,"A 17-year-old girl comes to the physician for an examination prior to entering college. She reports that she feels well but is nervous about leaving home for the first time. She states that she has tried to diet to improve her appearance but that food restriction often ""backfires"" because she becomes hungry and then engages in episodes of binge eating. She reports a loss of control during these episodes, saying ""It's like I stop thinking at all and before I know it, I have eaten two pizzas."" She induces vomiting several times during each binge and has developed a pattern of binging and purging every evening. She has no history of serious illness and takes no medications. She is 165 cm (5 ft 5 in) tall and weighs 57 kg (125 lb); BMI is 21 kg/m2. Vital signs are within normal limits. Physical examination shows dry mucous membranes, erosion of enamel on the lingual surface of the front teeth, and hypertrophy of the parotid gland. Serum studies are most likely to show which of the following sets of findings in this patient?",Decreased decreased,Decreased increased,Increased decreased,Increased increased,Normal decreased,Normal increased,,,,,B,Decreased increased,Text,STEP 2,0.38,78.72
535,"A 67-year-old man is brought to the emergency department by his wife 1 hour after he fainted while getting the morning newspaper. His wife says that he was unconscious for approximately 1 minute; he did not have urinary incontinence or seizure activity during the episode. During the past 2 days, he also has had episodes of dizziness. He has not had chest pain or shortness of breath. He has hypertension treated with lisinopril and hyperlipidemia treated with atorvastatin. Pulse is 60/min, respirations are 18/min, and blood pressure is 100/62 mm Hg. Lungs are clear to auscultation. On cardiac examination, no murmurs or gallops are heard. ECG is shown. Which of the following is the most likely diagnosis?",Atrial flutter,First-degree atrioventricular block,Mobitz type I atrioventricular block,Mobitz type II (second-degree) atrioventricular block,Sick sinus syndrome,Third-degree atrioventricular block,,,,,D,Mobitz type II (second-degree) atrioventricular block,PIX,STEP 2,0.62,121.27
151,"A 6-year-old boy is brought to the emergency department 2 hours after injuring his arm when he fell out of a tree.  His mother says that he is extremely active and likes to climb.  During the past year, he fractured his right tibia after falling off a trampoline and sustained a concussion after falling off his bicycle.  She says that his teachers reprimand him frequently for running wildly in the classroom, talking excessively, and getting out of his seat; he often forgets to turn in his homework.  His parents are currently divorcing.  His father has a history of illicit drug use.  The patient is at the 50th percentile for height and weight.  His pulse is 80/min, and blood pressure is 100/80 mm Hg.  Physical examination shows a dislocated left shoulder, healing abrasions over the elbows, and ecchymoses in various stages of healing over the knees.  Mental status examination shows a neutral affect.  He says that he likes to run and climb trees.  Which of the following is the most likely explanation for these findings?",Attention-deficit/hyperactivity disorder,Conduct disorder,Learning disorder,Seizure disorder,Age-appropriate behavior,,,,,,A,Attention-deficit/hyperactivity disorder,Text,STEP 2,0.44,81.38
660,"A 25-year-old woman comes to the emergency department because of a 3-hour history of fever, severe headache, light-headedness, dizziness, shaking chills, and muscle aches. Five hours ago, she was diagnosed with Lyme disease and began doxycycline therapy. She has no other history of serious illness and takes no other medications. Menses occur at regular 28-day intervals. She is currently menstruating and using a tampon. She appears anxious. Temperature is 37.0Â°C (98.6Â°F), pulse is 120/min, respirations are 30/min, and blood pressure is 90/60 mm Hg. Pulse oximetry on room air shows an oxygen saturation of 94%. Physical examination shows flushing and diaphoresis. Cardiopulmonary examination shows no other abnormalities. Which of the following is the most likely mechanism of this patientâ€™s current condition?",Exacerbation of infection by Borrelia burgdorferi,Infection-mediated sepsis,IgE-mediated allergic reaction to doxycycline,Release of bacterial products producing acute inflammation,Secretion of bacterial endotoxins,,,,,,D,Release of bacterial products producing acute inflammation,Text,STEP 1,0.92,122.64
285,"A 45-year-old man comes to the office for an initial appointment because he would like you to fill out and sign a legal document at the request of his attorney. The patient works as a limousine driver. He states that he is filing a lawsuit against the limousine company that employs him because he developed post-traumatic stress disorder following a motor vehicle collision. He appears irritable and tense as he provides his history. He relays his symptoms by reading them aloud from a written list. At this time, which of the following is the most appropriate approach toward confirming the underlying diagnosis of this patient?",Administer amobarbital and then interview the patient,Ask the patient to provide a narrative with detailed description of the incident and of his symptoms,Interview the patient under hypnosis,Interview the patient while paying close attention to his willingness to make eye contact,Tell the patient he is exhibiting behaviors that are suggestive of malingering and see how he responds,,,,,,B,Ask the patient to provide a narrative with detailed description of the incident and of his symptoms,Text,STEP 3,0.16,56.0
639,"A 45-year-old woman returns to the office to discuss results of a fine-needle aspiration biopsy of a 0.5-cm right breast mass obtained 1 week ago. She is unaccompanied. Medical history is unremarkable and she takes no medications. Her mother and maternal aunt were diagnosed with breast cancer at the ages of 45Â and 52 years, respectively. Physical examination discloses no palpable axillary nodes. The biopsy specimen showed malignant cells. The patient is counseled that she has an excellent chance of cure with lumpectomy and radiation therapy. She adamantly refuses this treatment plan and states that she will try natural therapies, including megavitamins and herbal remedies instead. After exploring the reasons behind the patient's decision, which of the following is the most appropriate response?",Advise the patient that there is no proof that these alternative therapies work and that she is essentially throwing her life away,Agree to the alternative therapies and schedule a follow-up visit in 6 months,Ask the patient if she would be willing to return to the office in 2 weeks to discuss treatment options again,Inform the patient that she will be referred to another physician based on her treatment decision,,,,,,,C,Ask the patient if she would be willing to return to the office in 2 weeks to discuss treatment options again,Text,STEP 2,0.24,62.33
257,"A 45-year-old man comes to the community health center because of a 1-week history of fever, chills, sweating, mild shortness of breath, and nonproductive cough. Medical history is remarkable for AIDS and pneumonia 3 years ago that required hospitalization. Today, he says that he lost his job 6 months ago and cannot afford to buy his antiretroviral medications. Vital signs are temperature 38.6Â°C (101.5Â°F), pulse 82/min, respirations 20/min, and blood pressure 116/72 mm Hg. Pulse oximetry on room air shows an oxygen saturation of 97%. The health center is very busy with several patients waiting to be evaluated. Which of the following is the most appropriate next step?",Arrange a direct admission to the hospital for this patient,Continue with obtaining a thorough history and examining this patient,Place masks on the patient and yourself and then continue to evaluate him,"Send this patient for chest x-rays, and while they are being obtained examine the next patient",,,,,,,C,Place masks on the patient and yourself and then continue to evaluate him,Text,STEP 3,1.18,84.45
518,"A 7-year-old boy is brought to the physician because of a 1-year history of poor performance in school. His parents say that he is bright, has many friends, and seems to want to do well in school. His teachers report that he seems frustrated with his own progress and his inability to meet the expectations of his parents. Speech fluency and articulation and motor skills are appropriate for age. Physical examination shows no abnormalities. When asked to read during the examination, he has significant difficulty sounding out words he is unfamiliar with. Visual acuity test and audiometry show no abnormalities. Which of the following is the most likely diagnosis?",Attention-deficit/hyperactivity disorder,Expressive language disorder,Intellectual developmental disorder,Learning disorder,Social anxiety disorder (social phobia),Normal behavior,,,,,D,Learning disorder,Text,STEP 2,0.66,73.15
213,"A 42-year-old man comes to the physician for a follow-up examination. Four months ago, he underwent repair of a Dupuytren contracture. Physical examination shows decreased range of motion in the affected hand. The patient is upset that his hand has not fully healed, and he files a malpractice suit against the physician. Which of the following is the most likely precipitating factor in this patient's decision to file a malpractice suit?",The patient's perception that the physician is incompetent,The patient's perception that the physician is uncaring,The patient's socioeconomic status,The physician's amount of experience in the medical field,The physician's inability to screen out problem patients,,,,,,B,The patient's perception that the physician is uncaring,Text,STEP 1,0.34,56.08
294,"Three days after an operation for uterine cancer, a hospitalized 67-year-old woman develops edema of the right lower extremity. Doppler ultrasonography shows a deep venous thrombosis (DVT). Review of the patient's record indicates that no DVT prophylaxis was initiated perioperatively. Which of the following is the best approach to prevent a similar adverse event in the future?",Conduct a nursing in-service regarding DVT prophylaxis,Develop an institutional policy with standardized orders for DVT prophylaxis,Encourage early ambulation during the postoperative period,Prescribe low-molecular-weight heparin for all postoperative patients,No intervention indicated because this is an isolated case and does not occur frequently,,,,,,B,Develop an institutional policy with standardized orders for DVT prophylaxis,Text,STEP 2,0.44,63.4
216,"A 25-year-old woman comes to the office because of a 24-hour history of right-sided facial weakness. Two days ago she developed mild aching behind the right ear, which resolved spontaneously. This morning, however, the entire right side of her face was drooping and she was unable to close her right eye. When she tried to drink coffee this morning, the liquid ran out the right side of her mouth. She has been otherwise healthy and she takes no medications. Vital signs are normal. Examination of the ears and oral mucosa shows no abnormalities. Cranial nerve examination shows moderate weakness of the right orbicularis oculi and oris, frontalis, buccinator, and platysma muscles. Sound is perceived as louder in the right ear. The remainder of the neurologic examination shows no abnormalities. Which of the following is the most accurate statement regarding this patient's prognosis for neurologic recovery?",Prognosis cannot be determined without results of cerebral angiography,Prognosis cannot be determined without results of MRI of the brain and cerebrospinal fluid analysis,She has an 80% chance of complete recovery within the next 12 months without treatment,With oral corticosteroid therapy she has a 20% chance of complete recovery within the next 12 months,It is unlikely that the patient will achieve functional recovery from this condition regardless of therapy,,,,,,C,She has an 80% chance of complete recovery within the next 12 months without treatment,Text,STEP 3,0.3,75.03
108,"A 68-year-old man is in the hospital because he requires mechanical ventilation for an exacerbation of chronic obstructive pulmonary disease. On the second day after admission he developed a pneumothorax on the right side that required tube thoracostomy. An air leak is noted for the next 24Â hours, which now has stopped. However, the patient has become restless and combative. Breath sounds are diminished in the right side of the chest and the patient now has tachycardia. Blood pressure is 130/80Â mmÂ Hg. After ordering a stat portable x-ray of the chest, which of the following is the most appropriate step?",Add 4 cm of positive end-expiratory pressure,Administer Î²-blocking medications,Administer alprazolam,Remove the patient from the ventilator and ventilate him with a bag-valve mask,Reposition the chest tube,,,,,,E,Reposition the chest tube,Text,STEP 3,0.7,84.2
616,"An 80-year-old woman is brought to the emergency department (ED) 30Â minutes after she fell out of her wheelchair at home. This is the second visit to the ED for a fall during the past 3Â months. She lives with her daughter and son-in-law, who say they â€œdo the best we can.â€ The patient has dementia, Alzheimer type, coronary artery disease, typeÂ 2 diabetes mellitus, and hypertension. Current medications are amlodipine, aspirin, atorvastatin, donepezil, long-acting insulin, and lisinopril. Five years ago, she underwent bilateral below-the-knee amputations because of infected ulcers of the feet. She uses a wheelchair for ambulation. Ten years ago, she underwent three-vessel coronary artery bypass grafting. She has smoked one-half pack of cigarettes daily for 60Â years. She drinks one shot of whiskey nightly. She is thin and appears ill and disheveled. Her temperature is 37.2Â°C (99.0Â°F), pulse is 80/min, respirations are 20/min, and blood pressure is 120/80Â mmÂ Hg. Pulse oximetry on 2Â L/min of oxygen by nasal cannula shows an oxygen saturation of 95%. Physical examination shows temporal wasting. There are scattered ecchymoses over the abdomen and all extremities. No other abnormalities are noted. Which of the following is the most appropriate initial history to obtain from this patient?",Abnormal bleeding,Diet,Relationship with her family,Respiratory symptoms,Urinary symptoms,,,,,,C,Relationship with her family,Text,STEP 1,0.3,94.91
500,"A 43-year-old woman with type 2 diabetes mellitus is brought to the emergency department because of a 12-hour history of nausea and vomiting. She says that it began after drinking champagne at a birthday party the previous night. Three days ago, she was diagnosed with Trichomonas vaginalis infection, and a 5-day course of metronidazole was initiated. Current medications also include acetaminophen, lisinopril, hydrochlorothiazide, and metformin. Her temperature is 37.2Â°C (99Â°F), pulse is 110/min, and blood pressure is 125/82 mm Hg. Physical examination shows pallor and dry mucous membranes. Which of the following is the most likely cause of this patient's nausea and vomiting?",Accumulation of acetaldehyde,Gastritis secondary to alcohol,Lactic acidosis secondary to metformin,Metronidazole-induced hepatotoxicity,Viral hepatitis,,,,,,A,Accumulation of acetaldehyde,Text,STEP 1,0.22,58.68
558,"A 68-year-old woman comes to the office because she is concerned about developing Alzheimer disease. She says she has had increasing difficulty recalling names of people and objects during the past 6 months. She has not had difficulty with her activities of daily living, finances, or shopping. She teaches part-time at a local community college. She has no history of serious illness and takes no medications. She does not smoke cigarettes. She drinks one 5-oz glass of wine daily. Her mother developed dementia, Alzheimer type, in her mid 70s. Physical and neurologic examinations of the patient show no abnormalities. On cognitive testing, she has delayed recall of three of five words. She is able to perform serial sevens, knows similarities, is fully oriented, and has intact executive, visuospatial, and attention abilities. Which of the following is the most appropriate next step in management?",Amyloid plaque imaging,Determination of ApoE allele status,Measurement of beta-amyloid in the cerebrospinal fluid,MRI of the brain with volumetric analysis,No additional diagnostic studies are indicated,,,,,,E,No additional diagnostic studies are indicated,Text,STEP 2,0.1,54.42
434,A 75-year-old woman comes to the physician because of a 3-year history of pain in her wrists and hands. She says that the pain has become more severe during the past 3 months. She has difficulty buttoning her coat because of the pain. Physical examination shows the findings in the photograph. Which of the following additional hand findings is most likely in this patient?,Cortical thinning,Degenerative changes of the cartilage,Inflammation of digital tendons,Neutrophilic infiltration of the synovium,Thickening of the synovium with pannus,,,,,,B,Degenerative changes of the cartilage,PIX,STEP 1,0.74,61.66
48,A healthy 4-year-old girl is brought for a well-child examination. A grade 2/6 systolic ejection murmur is heard along the upper left sternal border. S2 is widely split and does not vary with respiration. A soft mid-diastolic murmur is heard along the lower left sternal border. Examination shows no other abnormalities. Which of the following is the most likely diagnosis?,Aortic stenosis,Atrial septal defect,Coarctation of the aorta,Mitral valve prolapse,Patent ductus arteriosus,Pulmonary stenosis,Tetralogy of Fallot,Transposition of the great arteries,Ventricular septal defect,Normal heart,B,Atrial septal defect,Text,STEP 2,0.68,91.58
209,A male stillborn is delivered at 32 weeks' gestation to a 30-year-old woman. The pregnancy was complicated by oligohydramnios. Examination of the stillborn shows the absence of a urethral opening. Which of the following additional findings is most likely in this stillborn?,Congenital diaphragmatic hernia,Intralobar sequestration,Pulmonary hypoplasia,Situs inversus,Tracheoesophageal fistula,,,,,,C,Pulmonary hypoplasia,Text,STEP 1,0.2,48.04
55,"In a cohort study of elderly women, the relative risk ratio for hip fractures among those who exercise regularly is 1.2 (95% confidence interval of 1.1 to 1.8). Which of the following is the most appropriate conclusion about the effect of regular exercise on the risk for hip fracture?",Statistically nonsignificant increase in risk,Statistically nonsignificant overall decrease in risk,Statistically significant overall decrease in risk,Statistically significant overall increase in risk,,,,,,,D,Statistically significant overall increase in risk,Text,STEP 1,0.62,86.64
327,A 60-year-old man has had painful skin with exfoliation of the skin and mucous membranes for 1 day. He has been taking allopurinol and probenecid for 2 weeks because of gouty arthritis.  There is diffuse exfoliation of the skin with oozing of serous fluid.  The mucous membranes of the mouth are erythematous and exfoliated.  There are no target lesions.  Which of the following is the most likely diagnosis?,Bullous pemphigoid,Erythema multiforme,Pemphigus erythematosus,Staphylococcal scalded-skin syndrome,Toxic epidermal necrolysis,,,,,,E,Toxic epidermal necrolysis,Text,STEP 2,0.46,68.19
103,"A previously healthy 15-year-old boy is brought to the emergency department in August 1 hour after the onset of headache, dizziness, nausea, and one episode of vomiting. His symptoms began during the first hour of full-contact football practice in full uniform. He reported feeling weak and faint but did not lose consciousness. He vomited once after drinking water. On arrival, he is diaphoretic. He is not oriented to person, place, or time. His temperature is 39.5Â°C (103.1Â°F), pulse is 120/min, respirations are 40/min, and blood pressure is 90/65 mm Hg. Examination, including neurologic examination, shows no other abnormalities. Which of the following is the most appropriate next step in management?",Obtain a CT scan of the head,Administer sodium chloride tablets,Administer intravenous fluids,Immerse the patient in an ice water bath,Obtain a lumbar puncture,,,,,,C,Administer intravenous fluids,Text,STEP 2,0.44,77.47
404,"A 35-year-old man comes to the office because of 1-week history of mid low back pain that radiates down his right leg. The pain began after the patient lifted a heavy box onto his truck. He rates his current pain as an 8 on a 10-point scale. He has been unable to find a comfortable position and has been sleeping in a recliner. Medical history is unremarkable and he takes no medications. He has smoked one pack of cigarettes daily for the past 25Â years, and he drinks a six-pack of beer on Friday and Saturday nights. BMI is 27Â kg/m2. He appears uncomfortable and stands during the physical examination. Vital signs are normal. Straight-leg raise test is positive on the right, with loss of right ankle reflex. The remainder of the physical examination discloses no abnormalities. Which of the following is the most likely explanation for this patientâ€™s symptoms?",Displacement of the nucleus pulposus,Hypertrophy of the facet joints,Osteophyte formation,Spondylolisthesis,Thickening of ligamentum flavum,,,,,,A,Displacement of the nucleus pulposus,Text,STEP 3,0.12,53.57
43,A 36-year-old nulligravid woman with primary infertility comes for a follow-up examination. She has been unable to conceive for 10 years; analysis of her husband's semen during this period has shown normal sperm counts. Menses occur at regular 28-day intervals and last 5 to 6 days. She is asymptomatic except for severe dysmenorrhea. An endometrial biopsy specimen 5 days before menses shows secretory endometrium. Hysterosalpingography 1 year ago showed normal findings. Pelvic examination shows a normal vagina and cervix. Bimanual examination shows a normal-sized uterus and no palpable adnexal masses. Rectal examination is unremarkable. Which of the following is the most likely diagnosis?,Anovulation,Endometriosis,Intrauterine synechiae,Male factor,Tubal obstruction,,,,,,B,Endometriosis,Text,STEP 2,0.56,76.37
643,"A 67-year-old man comes to the office because he is concerned about memory loss. He says he sometimes forgets the names of acquaintances he sees while he is out shopping. He also has occasional word-finding difficulty and forgets to buy some items when he goes shopping unless he makes a list. He lives alone and is able to manage his finances, cook, and shop without help. He works part-time as an accountant. He has gastroesophageal reflux disease and hypertension. Current medications are hydrochlorothiazide and omeprazole. Vital signs are within normal limits. Physical and neurologic examinations show no abnormalities. On mental status examination, he is fully oriented. His speech is normal, and thoughts are organized. His mood is euthymic, and he has a full range of affect. His concentration is intact, and he is able to perform calculations quickly and accurately. He can name objects accurately and follow written and verbal commands. He recalls three of four objects after 5Â minutes. Which of the following is the most appropriate physician response to this patientâ€™s concern?",â€œI am concerned about your memory loss. Letâ€™s discuss how to further evaluate your memory.â€,"â€œThere's no need to worry right now, but let's meet again in 6 months.â€","â€œUnfortunately, your memory loss will likely increase significantly during the next 5 years; letâ€™s discuss some ways to plan for the future.â€","â€œYour episodes of forgetfulness are likely just â€˜Senior Moments,â€™ but we should obtain in-depth laboratory test results and an MRI to be certain.â€",â€œYour examination findings indicate that your memory loss is likely consistent with the normal aging process.â€,,,,,,E,â€œYour examination findings indicate that your memory loss is likely consistent with the normal aging process.â€,Text,STEP 1,0.22,92.17
